(None, 'caught', 'Cuttlefish', 31.2)
(None, 'caught', 'Dolphin', 425.8)
(None, 'caught', 'Blue Marlin', 1155.6)
(None, 'caught', 'Squid', 1268.9)
(None, 'caught', 'Sardine', 1.7)
(None, 'caught', 'Sailfish', 145.9)
(None, 'caught', 'Swordfish', 500.8)
(None, 'caught', 'Ray', 536.1)
(None, 'caught', 'Moray Eel', 889.9)
(None, 'caught', 'Scorpionfish', 1.0)
(None, 'caught', 'Sailfish', 72.6)
(None, 'caught', 'Mackerel', 15.4)
(None, 'caught', 'Shad', 17.2)
(None, 'caught', 'Blue Marlin', 1471.2)
(None, 'caught', 'Barracuda', 23.6)
(None, 'caught', 'Dolphin', 284.4)
(None, 'caught', 'Amberjack', 24.2)
(None, 'caught', 'Cuttlefish', 27.8)
(None, 'caught', 'Mackerel', 103.9)
(None, 'caught', 'Sea Bass', 9.3)
(None, 'caught', 'Lionfish', 1.3)
(None, 'caught', 'Sea Turtle', 144.9)
(None, 'caught', 'Moray Eel', 801.3)
(None, 'caught', 'Squid', 120.4)
(None, 'caught', 'Sturgeon', 2570.8)
(None, 'caught', 'Shad', 3.0)
(None, 'caught', 'Cuttlefish', 19.7)
(None, 'caught', 'Sardine', 1.6)
(None, 'caught', 'Waspfish', 1.4)
(None, 'caught', 'Amberjack', 84.2)
(None, 'caught', 'Waspfish', 5.3)
(None, 'caught', 'Dolphin', 326.5)
(None, 'caught', 'Waspfish', 6.5)
(None, 'caught', 'Lionfish', 0.1)
(None, 'caught', 'Cuttlefish', 25.5)
(None, 'caught', 'Amberjack', 38.6)
(None, 'caught', 'Sailfish', 209.9)
(None, 'caught', 'Stingray', 281.7)
(None, 'caught', 'Sturgeon', 1709.9)
(None, 'caught', 'Waspfish', 3.2)
(None, 'caught', 'Shark', 975.7)
(None, 'caught', 'Red Snapper', 39.2)
(None, 'caught', 'Red Snapp:', 39.2)
(None, 'caught', 'Lionfish', 1.1)
(None, 'caught', 'Lobster', 9.6)
(None, 'caught', 'Moray Eel', 66.4)
(None, 'caught', 'Moray Eel', 556.5)
(None, 'caught', 'Waspfish', 7.8)
(None, 'caught', 'Blue Marlin', 385.2)
